 3.90 c0.91 · 8% of decks | Executioner's Capsule {B} | Artifact | {1}{B}, {T}, Sacrifice this artifact: Destroy target nonblack creature.
 3.35 c0.60 GEM · not on EDHREC page | Eccentric Farmer {2}{G} | Creature — Human Peasant 2/3 | When this creature enters, mill three cards, then you may return a land …
 3.35 c0.55 GEM · not on EDHREC page | Implement of Examination {3} | Artifact | {U}, Sacrifice this artifact: Draw a card. When this artifact is put into a graveyard f…
 3.31 c0.60 · 29% of decks | River Kelpie {3}{U}{U} | Creature — Beast 3/3 | Whenever this creature or another permanent enters from a graveyard, draw a card.…
 3.29 c0.57 GEM · not on EDHREC page | Terrarion {1} | Artifact | This artifact enters tapped. {2}, {T}, Sacrifice this artifact: Add two mana in any combination of col…
 3.28 c0.50 GEM · not on EDHREC page | Baba Lysaga, Night Witch {1}{B}{G} | Legendary Creature — Human Warlock 3/3 | {T}, Sacrifice up to three permanents: If there wer…
 3.28 c0.62 GEM · not on EDHREC page | Sultai Banner {3} | Artifact | {T}: Add {B}, {G}, or {U}. {B}{G}{U}, {T}, Sacrifice this artifact: Draw a card.
 3.25 c0.67 GEM · not on EDHREC page | Dross Skullbomb {1} | Artifact | {1}, Sacrifice this artifact: Draw a card. {2}{B}, Sacrifice this artifact: Return target creatu…
 3.23 c0.67 GEM · not on EDHREC page | Surgical Skullbomb {1} | Artifact | {1}, Sacrifice this artifact: Draw a card. {2}{U}, Sacrifice this artifact: Return target cre…
 3.23 c0.59 GEM · not on EDHREC page | Vrock {3}{B}{B} | Creature — Bird Demon 3/3 | Flying Toxic Spores — At the beginning of your end step, if a permanent you control…
 3.22 c0.49 GEM · not on EDHREC page | Grave Peril {1}{B} | Enchantment | When a nonblack creature enters, sacrifice this enchantment. If you do, destroy that creature.
 3.21 c0.66 GEM · not on EDHREC page | Disciples of Gix {4}{B}{B} | Creature — Phyrexian Human 4/4 | When this creature enters, search your library for up to three arti…
 3.20 c0.56 GEM · not on EDHREC page | Psychomancer {1}{B} | Artifact Creature — Necron Wizard 1/1 | Flying Harbinger of Despair — Whenever this creature or another non…
 3.18 c0.69 GEM · not on EDHREC page | Sewer-veillance Cam {U} | Artifact | Flash When this artifact enters or leaves the battlefield, you may tap or untap target creat…
 3.18 c0.67 GEM · not on EDHREC page | Golgari Cluestone {3} | Artifact | {T}: Add {B} or {G}. {B}{G}, {T}, Sacrifice this artifact: Draw a card.
 3.18 c0.62 GEM · not on EDHREC page | Courier's Capsule {1}{U} | Artifact | {1}{U}, {T}, Sacrifice this artifact: Draw two cards.
 3.16 c0.68 GEM · not on EDHREC page | Ichor Wellspring {2} | Artifact | When this artifact enters or is put into a graveyard from the battlefield, draw a card.
 3.16 c0.61 GEM · not on EDHREC page | Marionette Master {4}{B}{B} | Creature — Human Artificer 1/3 | Fabricate 3 (When this creature enters, put three +1/+1 counters o…
 3.15 c0.51 GEM · not on EDHREC page | Gray Merchant of Asphodel {3}{B}{B} | Creature — Zombie 2/4 | When this creature enters, each opponent loses X life, where X is y…
 3.15 c0.56 · 27% of decks | Satyr Wayfinder {1}{G} | Creature — Satyr 1/1 | When this creature enters, reveal the top four cards of your library. You may put…
 3.15 c0.73 GEM · not on EDHREC page | Vraska the Unseen {3}{B}{G} | Legendary Planeswalker — Vraska [5] | +1: Until your next turn, whenever a creature deals combat da…
 3.15 c0.62 GEM · not on EDHREC page | Letter of Acceptance {3} | Artifact | {T}: Add one mana of any color. {2}, {T}, Sacrifice this artifact: Draw a card.
 3.15 c0.69 GEM · not on EDHREC page | Font of Fortunes {1}{U} | Enchantment | {1}{U}, Sacrifice this enchantment: Draw two cards.
 3.14 c0.68 GEM · not on EDHREC page | Simic Cluestone {3} | Artifact | {T}: Add {G} or {U}. {G}{U}, {T}, Sacrifice this artifact: Draw a card.
 3.13 c0.56 · 21% of decks | Teval's Judgment {2}{B} | Enchantment | Whenever one or more cards leave your graveyard, choose one that hasn't been chosen this …
 3.13 c0.65 GEM · not on EDHREC page | Mnemonic Sphere {1}{U} | Artifact | {1}{U}, Sacrifice this artifact: Draw two cards. Channel — {U}, Discard this card: Draw a car…
 3.12 c0.63 GEM · not on EDHREC page | Hedron Archive {4} | Artifact | {T}: Add {C}{C}. {2}, {T}, Sacrifice this artifact: Draw two cards.
 3.11 c0.61 GEM · not on EDHREC page | Necrogen Spellbomb {1} | Artifact | {B}, Sacrifice this artifact: Target player discards a card. {1}, Sacrifice this artifact: Dr…
 3.11 c0.57 GEM · not on EDHREC page | Vile Requiem {2}{B}{B} | Enchantment | At the beginning of your upkeep, you may put a verse counter on this enchantment. {1}{B}, …
 3.10 c0.47 · 29% of decks | Lotus Petal {0} | Artifact | {T}, Sacrifice this artifact: Add one mana of any color.
 3.10 c0.66 GEM · not on EDHREC page | Marionette Apprentice {1}{B} | Creature — Human Artificer 1/2 | Fabricate 1 (When this creature enters, put a +1/+1 counter on it…
 3.10 c0.68 · 8% of decks | Mishra's Bauble {0} | Artifact | {T}, Sacrifice this artifact: Look at the top card of target player's library. Draw a card at th…
 3.10 c0.68 GEM · not on EDHREC page | Witching Well {U} | Artifact | When this artifact enters, scry 2. (Look at the top two cards of your library, then put any number…
 3.10 c0.51 GEM · not on EDHREC page | Sinister Concoction {B} | Enchantment | {B}, Pay 1 life, Mill a card, Discard a card, Sacrifice this enchantment: Destroy target …
 3.09 c0.64 · 11% of decks | Mind Stone {2} | Artifact | {T}: Add {C}. {1}, {T}, Sacrifice this artifact: Draw a card.
 3.08 c0.72 GEM · not on EDHREC page | Dimir Cluestone {3} | Artifact | {T}: Add {U} or {B}. {U}{B}, {T}, Sacrifice this artifact: Draw a card.
 3.07 c0.67 GEM · not on EDHREC page | Darkwater Egg {1} | Artifact | {2}, {T}, Sacrifice this artifact: Add {U}{B}. Draw a card. (Activate only as an instant.)
 3.06 c0.49 GEM · not on EDHREC page | Scrap Trawler {3} | Artifact Creature — Construct 3/2 | Whenever this creature dies or another artifact you control is put into a…
 3.06 c0.63 GEM · not on EDHREC page | Underhanded Designs {1}{B} | Enchantment | Whenever an artifact you control enters, you may pay {1}. If you do, each opponent los…
 3.05 c0.71 GEM · not on EDHREC page | Mephitic Draught {1}{B} | Artifact | When this artifact enters or is put into a graveyard from the battlefield, you draw a card a…
 3.05 c0.55 GEM · not on EDHREC page | Lunatic Pandora {1} | Legendary Artifact | {2}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your g…
 3.04 c0.62 GEM · not on EDHREC page | Wizard's Rockets {1} | Artifact | This artifact enters tapped. {X}, {T}, Sacrifice this artifact: Add X mana in any combination o…
 3.03 c0.61 · 16% of decks | Sultai Ascendancy {B}{G}{U} | Enchantment | At the beginning of your upkeep, surveil 2. (Look at the top two cards of your librar…
 3.03 c0.72 GEM · not on EDHREC page | Taigam's Scheming {1}{U} | Sorcery | Surveil 5. (Look at the top five cards of your library, then put any number of them into you…
 3.02 c0.59 · 31% of decks | Entomb {B} | Instant | Search your library for a card, put that card into your graveyard, then shuffle.
 3.02 c0.67 GEM · not on EDHREC page | Ravenous Squirrel {B/G} | Creature — Squirrel 1/1 | Whenever you sacrifice an artifact or creature, put a +1/+1 counter on this c…
 3.02 c0.73 GEM · not on EDHREC page | Spare Supplies {2} | Artifact | This artifact enters tapped. When this artifact enters, draw a card. {2}, {T}, Sacrifice this art…
 3.02 c0.68 GEM · not on EDHREC page | Golgari Locket {3} | Artifact | {T}: Add {B} or {G}. {B/G}{B/G}{B/G}{B/G}, {T}, Sacrifice this artifact: Draw two cards.
 3.01 c0.77 GEM · not on EDHREC page | Alchemist's Vial {2} | Artifact | When this artifact enters, draw a card. {1}, {T}, Sacrifice this artifact: Target creature can'…
 3.01 c0.71 GEM · not on EDHREC page | Wicked Visitor {1}{B} | Creature — Nightmare 2/2 | Whenever an enchantment you control is put into a graveyard from the battlefie…
 3.01 c0.75 GEM · not on EDHREC page | Laboratory Drudge {3}{U} | Creature — Zombie Horror 3/4 | At the beginning of each end step, draw a card if you've cast a spell f…
 3.01 c0.64 GEM · not on EDHREC page | Chime of Night {1}{B} | Enchantment — Aura | Enchant creature When this Aura is put into a graveyard from the battlefield, destro…
 3.00 c0.58 GEM · not on EDHREC page | Esoteric Duplicator {2}{U} | Artifact — Clue | Whenever you sacrifice this artifact or another artifact, you may pay {2}. If you …
 3.00 c0.70 GEM · not on EDHREC page | Dimir Locket {3} | Artifact | {T}: Add {U} or {B}. {U/B}{U/B}{U/B}{U/B}, {T}, Sacrifice this artifact: Draw two cards.
 2.99 c0.66 GEM · not on EDHREC page | Tireless Tracker {2}{G} | Creature — Human Scout 3/2 | Landfall — Whenever a land you control enters, investigate. (Create a Clue…
 2.99 c0.76 GEM · not on EDHREC page | Curate {1}{U} | Instant | Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard …
 2.99 c0.35 GEM · not on EDHREC page | Conjurer's Bauble {1} | Artifact | {T}, Sacrifice this artifact: Put up to one target card from your graveyard on the bottom of y…
 2.99 c0.73 GEM · not on EDHREC page | Ashiok's Reaper {3}{B} | Creature — Nightmare 3/3 | Whenever an enchantment you control is put into a graveyard from the battlefi…
 2.99 c0.66 GEM · not on EDHREC page | Astrolabe {3} | Artifact | {1}, {T}, Sacrifice this artifact: Add two mana of any one color. Draw a card at the beginning of the …
 2.98 c0.62 GEM · not on EDHREC page | Brainstone {1} | Artifact | {2}, {T}, Sacrifice this artifact: Draw three cards, then put two cards from your hand on top of your…
 2.98 c0.69 GEM · not on EDHREC page | Urn of Godfire {1} | Artifact | {2}: Add one mana of any color. {6}, {T}, Sacrifice this artifact: Destroy target creature or enc…
 2.98 c0.70 GEM · not on EDHREC page | Infernal Idol {3} | Artifact | {T}: Add {B}. {1}{B}{B}, {T}, Sacrifice this artifact: You draw two cards and you lose 2 life.
 2.98 c0.61 GEM · not on EDHREC page | Etherium Astrolabe {2}{U} | Artifact | Flash {B}, {T}, Sacrifice an artifact: Draw a card.
 2.97 c0.53 GEM · not on EDHREC page | Matzalantli, the Great Door // The Core {3} | Legendary Artifact // Legendary Land | [Matzalantli, the Great Door] {3} — Legendar…
 2.97 c0.70 GEM · not on EDHREC page | Guild Globe {2} | Artifact | When this artifact enters, draw a card. {2}, {T}, Sacrifice this artifact: Add two mana of different…
 2.97 c0.68 GEM · not on EDHREC page | Futurist Forge {1}{U} | Artifact | When this artifact enters, draw a card. {3}{U}, Sacrifice this artifact: Draw two cards.
 2.97 c0.69 GEM · not on EDHREC page | Sarcomite Myr {2}{U} | Artifact Creature — Phyrexian Myr 2/1 | {2}: This creature gains flying until end of turn. {2}, Sacrifice …
 2.97 c0.66 GEM · not on EDHREC page | Scrap Compactor {1} | Artifact | {3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature. {6}, {T}, Sacrifice thi…
 2.96 c0.78 GEM · not on EDHREC page | Forensic Gadgeteer {2}{U} | Creature — Vedalken Artificer Detective 2/3 | Whenever you cast an artifact spell, investigate. (Crea…
 2.96 c0.63 GEM · not on EDHREC page | Dreamstone Hedron {6} | Artifact | {T}: Add {C}{C}{C}. {3}, {T}, Sacrifice this artifact: Draw three cards.
 2.96 c0.71 GEM · not on EDHREC page | Contingency Plan {1}{U} | Sorcery | Surveil 5. (Look at the top five cards of your library, then put any number of them into your…
 2.96 c0.64 GEM · not on EDHREC page | Barbed Sextant {1} | Artifact | {1}, {T}, Sacrifice this artifact: Add one mana of any color. Draw a card at the beginning of the…
 2.95 c0.72 GEM · not on EDHREC page | Sleeper Dart {2} | Artifact | When this artifact enters, draw a card. {T}, Sacrifice this artifact: Target creature doesn't untap…
 2.95 c0.73 GEM · not on EDHREC page | Simic Locket {3} | Artifact | {T}: Add {G} or {U}. {G/U}{G/U}{G/U}{G/U}, {T}, Sacrifice this artifact: Draw two cards.
 2.95 c0.76 GEM · not on EDHREC page | Rummaging Wizard {3}{U} | Creature — Human Wizard 2/2 | {2}{U}: Surveil 1. (Look at the top card of your library. You may put tha…
 2.94 c0.47 · 38% of decks | Pernicious Deed {1}{B}{G} | Enchantment | {X}, Sacrifice this enchantment: Destroy each artifact, creature, and enchantment with …
 2.94 c0.74 GEM · not on EDHREC page | Rowan's Grim Search {2}{B} | Instant | Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.) If …
 2.94 c0.70 GEM · not on EDHREC page | Ransom Note {1} | Artifact — Clue | When this artifact enters, surveil 1. {2}, Sacrifice this artifact: Choose one — • Cloak the …
 2.94 c0.69 GEM · not on EDHREC page | Elf Replica {3} | Artifact Creature — Elf 2/2 | {1}{G}, Sacrifice this creature: Destroy target enchantment.
 2.93 c0.65 GEM · not on EDHREC page | Emry, Lurker of the Loch {2}{U} | Legendary Creature — Merfolk Wizard 1/2 | Affinity for artifacts (This spell costs {1} less to …
 2.93 c0.58 GEM · not on EDHREC page | Mazirek, Kraul Death Priest {3}{B}{G} | Legendary Creature — Insect Shaman 2/2 | Flying Whenever a player sacrifices another perm…
 2.92 c0.66 · 5% of decks | Unmarked Grave {1}{B} | Sorcery | Search your library for a nonlegendary card, put that card into your graveyard, then shuffle.
 2.92 c0.59 GEM · not on EDHREC page | The Everflowing Well // The Myriad Pools {2}{U} | Legendary Artifact // Legendary Artifact Land | [The Everflowing Well] {2}{U} —…
 2.92 c0.38 GEM · not on EDHREC page | Trazyn the Infinite {4}{B}{B} | Legendary Artifact Creature — Necron 4/6 | Deathtouch Prismatic Gallery — As long as Trazyn is on…
 2.92 c0.73 GEM · not on EDHREC page | Cruel Truths {3}{B} | Instant | Surveil 2, then draw two cards. You lose 2 life. (To surveil 2, look at the top two cards of your…
 2.92 c0.72 GEM · not on EDHREC page | Stalactite Stalker {B} | Creature — Goblin Rogue 1/1 | Menace At the beginning of your end step, if you descended this turn, put …
 2.92 c0.70 GEM · not on EDHREC page | Dubious Delicacy {2}{B} | Artifact — Food | Flash When this artifact enters, up to one target creature gets -3/-3 until end of tu…
 2.92 c0.62 GEM · not on EDHREC page | Viridian Harvest {G} | Enchantment — Aura | Enchant artifact When enchanted artifact is put into a graveyard, you gain 6 life.
 2.91 c0.65 GEM · not on EDHREC page | Giant's Boulder {1} | Artifact | When this artifact enters, scry 2. (Look at the top two cards of your library, then put any numb…
 2.91 c0.66 GEM · not on EDHREC page | Orazca Puzzle-Door {U} | Artifact | {1}, {T}, Sacrifice this artifact: Look at the top two cards of your library. Put one of thos…
 2.91 c0.71 GEM · not on EDHREC page | Brass Secretary {3} | Artifact Creature — Construct 2/1 | {2}, Sacrifice this creature: Draw a card.
 2.90 c0.52 GEM · not on EDHREC page | Aetherworks Marvel {4} | Legendary Artifact | Whenever a permanent you control is put into a graveyard, you get {E} (an energy co…
 2.90 c0.72 GEM · not on EDHREC page | Ob Nixilis Reignited {3}{B}{B} | Legendary Planeswalker — Nixilis [5] | +1: You draw a card and you lose 1 life. −3: Destroy targ…
 2.90 c0.75 GEM · not on EDHREC page | Risky Research {2}{B} | Sorcery | Surveil 2, then draw two cards. You lose 2 life. (To surveil 2, look at the top two cards of yo…
 2.90 c0.62 GEM · not on EDHREC page | Hatching Plans {1}{U} | Enchantment | When this enchantment is put into a graveyard from the battlefield, draw three cards.
 2.90 c0.59 GEM · not on EDHREC page | Infernal Tribute {B}{B}{B} | Enchantment | {2}, Sacrifice a nontoken permanent: Draw a card.
 2.90 c0.62 GEM · not on EDHREC page | Thraxodemon {1}{B} | Creature — Demon 2/2 | {3}, {T}, Sacrifice another creature or artifact: Draw a card.
 2.90 c0.73 GEM · not on EDHREC page | Scalding Cauldron {1} | Artifact | {3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature.
 2.89 c0.59 GEM · not on EDHREC page | Dress Down {1}{U} | Enchantment | Flash When this enchantment enters, draw a card. Creatures lose all abilities. At the beginning…
 2.89 c0.48 GEM · not on EDHREC page | Ultron the Annihilator {3}{B}{B} | Legendary Artifact Creature — Robot Villain 3/4 | Flying Whenever Ultron enters or attacks, cr…
 2.89 c0.65 GEM · not on EDHREC page | Grim Bauble {B} | Artifact | When this artifact enters, target creature an opponent controls gets -2/-2 until end of turn. {2}{B}…
 2.89 c0.68 GEM · not on EDHREC page | Conch Horn {2} | Artifact | {1}, {T}, Sacrifice this artifact: Draw two cards, then put a card from your hand on top of your libr…
 2.89 c0.70 GEM · not on EDHREC page | Lord Dregg, Insect Invader {3}{B} | Legendary Creature — Insect Warrior 3/2 | Flying Disappear — At the beginning of your end ste…
 2.89 c0.72 GEM · not on EDHREC page | Metalspinner's Puzzleknot {2} | Artifact | When this artifact enters, you draw a card and you lose 1 life. {2}{B}, Sacrifice this…
 2.88 c0.70 GEM · not on EDHREC page | Notion Rain {1}{U}{B} | Sorcery | Surveil 2, then draw two cards. Notion Rain deals 2 damage to you. (To surveil 2, look at the t…
 2.88 c0.65 GEM · not on EDHREC page | Soul Enervation {3}{B} | Enchantment | Flash When this enchantment enters, target creature gets -4/-4 until end of turn. Whenever…
 2.88 c0.64 GEM · not on EDHREC page | Engineered Explosives {X} | Artifact | Sunburst (This artifact enters with a charge counter on it for each color of mana spent to…
 2.88 c0.71 GEM · not on EDHREC page | Parcel Myr {1}{U} | Artifact Creature — Clue Myr 2/1 | {2}, Sacrifice this creature: Draw a card.
 2.88 c0.60 GEM · not on EDHREC page | Found Footage {1} | Artifact — Clue | You may look at face-down creatures your opponents control any time. {2}, Sacrifice this ar…
 2.87 c0.71 GEM · not on EDHREC page | Diresight {2}{B} | Sorcery | Surveil 2, then draw two cards. You lose 2 life. (To surveil 2, look at the top two cards of your li…
 2.87 c0.56 GEM · not on EDHREC page | Dreg Recycler {1}{B} | Creature — Phyrexian Beast 2/2 | {T}, Sacrifice an artifact or creature: Each opponent loses 1 life and yo…
 2.87 c0.68 GEM · not on EDHREC page | Maze Skullbomb {1} | Artifact | {1}, Sacrifice this artifact: Draw a card. {2}{G}, Sacrifice this artifact: Target creature you c…
 2.87 c0.71 GEM · not on EDHREC page | Bear Trap {1} | Artifact | Flash {3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature.
 2.87 c0.44 GEM · not on EDHREC page | Eye of Doom {4} | Artifact | When this artifact enters, each player chooses a nonland permanent and puts a doom counter on it. {2…
 2.86 c0.83 · 10% of decks | Heroic Intervention {1}{G} | Instant | Permanents you control gain hexproof and indestructible until end of turn.
 2.86 c0.51 · 17% of decks | Insidious Fungus {G} | Creature — Fungus 1/2 | {2}, Sacrifice this creature: Choose one — • Destroy target artifact. • Destroy ta…
 2.86 c0.63 GEM · not on EDHREC page | Ominous Harvest {2}{B} | Sorcery | Gravestorm (When you cast this spell, copy it for each permanent put into a graveyard from the…
 2.86 c0.64 GEM · not on EDHREC page | Sage of Lat-Nam {1}{U} | Creature — Human Artificer 1/2 | {T}, Sacrifice an artifact: Draw a card.
 2.85 c0.63 GEM · not on EDHREC page | Unbridled Growth {G} | Enchantment — Aura | Enchant land Enchanted land has "{T}: Add one mana of any color." Sacrifice this Aura…
 2.85 c0.66 GEM · not on EDHREC page | Eerie Gravestone {2} | Artifact | When this artifact enters, draw a card. {1}{B}, Sacrifice this artifact: Mill four cards. You m…
 2.85 c0.75 GEM · not on EDHREC page | Cerebral Download {4}{U} | Instant | Surveil X, where X is the number of artifacts you control. Then draw three cards. (To survei…
 2.85 c0.66 GEM · not on EDHREC page | Anchovy & Banana Pizza {2}{B}{B} | Artifact — Food | When this artifact enters, destroy target creature. {2}, {T}, Sacrifice this…
 2.85 c0.71 GEM · not on EDHREC page | Lead Pipe {B} | Artifact — Clue Equipment | Equipped creature gets +2/+0. Whenever equipped creature dies, each opponent loses 1 …
 2.85 c0.71 GEM · not on EDHREC page | Hidden Herbalists {1}{G} | Creature — Human Druid 2/2 | Revolt — When this creature enters, if a permanent left the battlefield u…
 2.84 c0.54 GEM · not on EDHREC page | Panharmonicon {4} | Artifact | If an artifact or creature entering causes a triggered ability of a permanent you control to trigg…
 2.84 c0.66 GEM · not on EDHREC page | Urza's Bauble {0} | Artifact | {T}, Sacrifice this artifact: Look at a card at random in target player's hand. You draw a card at…
 2.84 c0.69 GEM · not on EDHREC page | Dockside Chef {B} | Enchantment Creature — Human Citizen 1/2 | {1}{B}, Sacrifice an artifact or creature: Draw a card.
 2.84 c0.70 GEM · not on EDHREC page | Kishla Skimmer {G}{U} | Creature — Bird Scout 2/2 | Flying Whenever a card leaves your graveyard during your turn, draw a card. T…
 2.84 c0.71 GEM · not on EDHREC page | Fountainport Bell {1} | Artifact | When this artifact enters, you may search your library for a basic land card, reveal it, then …
 2.84 c0.65 GEM · not on EDHREC page | Fang, Fearless l'Cie {2}{B} | Legendary Creature — Human Warrior 2/3 | Whenever one or more cards leave your graveyard, you draw …
 2.84 c0.71 GEM · not on EDHREC page | Investigator's Journal {2} | Artifact — Book Clue | This artifact enters with a number of suspect counters on it equal to the gre…
 2.84 c0.58 GEM · not on EDHREC page | Acolyte of Aclazotz {2}{B} | Creature — Vampire Cleric 1/4 | {T}, Sacrifice another creature or artifact: Each opponent loses 1 l…
 2.84 c0.71 GEM · not on EDHREC page | Kingpin's Enforcers {2}{B} | Creature — Human Villain 2/3 | Lifelink {2}{B}, Sacrifice an artifact or creature: Draw a card.
 2.84 c0.69 GEM · not on EDHREC page | Vial of Poison {1} | Artifact | {1}, Sacrifice this artifact: Target creature gains deathtouch until end of turn. (Any amount of …
 2.83 c0.73 GEM · not on EDHREC page | Vedalken Archmage {2}{U}{U} | Creature — Vedalken Wizard 0/2 | Whenever you cast an artifact spell, draw a card.
 2.83 c0.69 · 45% of decks | Gravebreaker Lamia {4}{B} | Enchantment Creature — Snake Lamia 4/4 | Lifelink When this creature enters, search your library for …
 2.83 c0.66 GEM · not on EDHREC page | Reckoner's Bargain {1}{B} | Instant | As an additional cost to cast this spell, sacrifice an artifact or creature. You gain life …
 2.83 c0.39 GEM · not on EDHREC page | The Mycotyrant {1}{B}{G} | Legendary Creature — Elder Fungus */* | Trample The Mycotyrant's power and toughness are each equal to…
 2.83 c0.68 GEM · not on EDHREC page | Ill-Gotten Inheritance {3}{B} | Enchantment | At the beginning of your upkeep, this enchantment deals 1 damage to each opponent a…
 2.83 c0.65 GEM · not on EDHREC page | Gixian Infiltrator {1}{B} | Creature — Phyrexian Human 2/1 | Whenever you sacrifice another permanent, put a +1/+1 counter on thi…
 2.83 c0.56 GEM · not on EDHREC page | Vengeful Strangler // Strangling Grasp {1}{B} | Creature — Human Rogue // Enchantment — Aura 2/1 | [Vengeful Strangler] {1}{B} — …
 2.83 c0.72 GEM · not on EDHREC page | Think Tank {2}{U} | Enchantment | At the beginning of your upkeep, surveil 1. (Look at the top card of your library. You may put …
 2.82 c0.68 GEM · not on EDHREC page | Garruk, Apex Predator {5}{B}{G} | Legendary Planeswalker — Garruk [5] | +1: Destroy another target planeswalker. +1: Create a 3/3…
 2.82 c0.74 GEM · not on EDHREC page | Kami of Transience {1}{G} | Creature — Spirit 2/2 | Trample Whenever you cast an enchantment spell, put a +1/+1 counter on this c…
 2.82 c0.53 GEM · not on EDHREC page | Priest of Yawgmoth {1}{B} | Creature — Phyrexian Human Cleric 1/2 | {T}, Sacrifice an artifact: Add an amount of {B} equal to the…
 2.82 c0.72 GEM · not on EDHREC page | Pit Trap {2} | Artifact | {2}, {T}, Sacrifice this artifact: Destroy target attacking creature without flying. It can't be regene…
 2.82 c0.72 GEM · not on EDHREC page | Naga Oracle {3}{U} | Creature — Snake Cleric 2/4 | When this creature enters, surveil 3. (Look at the top three cards of your lib…
 2.82 c0.73 GEM · not on EDHREC page | Vengeful Rebel {2}{B} | Creature — Aetherborn Warrior 3/2 | Revolt — When this creature enters, if a permanent left the battlefie…
 2.81 c0.64 GEM · not on EDHREC page | Deadly Dispute {1}{B} | Instant | As an additional cost to cast this spell, sacrifice an artifact or creature. Draw two cards and…
 2.81 c0.64 GEM · not on EDHREC page | Enchantress's Presence {2}{G} | Enchantment | Whenever you cast an enchantment spell, draw a card.
 2.81 c0.57 GEM · not on EDHREC page | Virtue of Knowledge // Vantress Visions {4}{U} // {1}{U} | Enchantment // Instant — Adventure | [Virtue of Knowledge] {4}{U} — En…
 2.81 c0.54 GEM · not on EDHREC page | Kagha, Shadow Archdruid {2}{B}{G} | Legendary Creature — Elf Druid 1/4 | Whenever Kagha attacks, it gains deathtouch until end of…
 2.81 c0.72 GEM · not on EDHREC page | Omen of the Sea {1}{U} | Enchantment | Flash (You may cast this spell any time you could cast an instant.) When this enchantment …
 2.81 c0.67 GEM · not on EDHREC page | Surge of Brilliance {1}{U} | Instant | Paradox — Draw a card for each spell you've cast this turn from anywhere other than your h…
 2.81 c0.70 GEM · not on EDHREC page | Compulsion {1}{U} | Enchantment | {1}{U}, Discard a card: Draw a card. {1}{U}, Sacrifice this enchantment: Draw a card.
 2.81 c0.72 GEM · not on EDHREC page | Moriok Rigger {2}{B} | Creature — Human Rogue Rigger 2/2 | Whenever an artifact is put into a graveyard from the battlefield, you…
 2.80 c0.71 GEM · not on EDHREC page | Consider {U} | Instant | Surveil 1. (Look at the top card of your library. You may put it into your graveyard.) Draw a card.
 2.80 c0.69 GEM · not on EDHREC page | Fangren Marauder {5}{G} | Creature — Beast 5/5 | Whenever an artifact is put into a graveyard from the battlefield, you may gain …
 2.80 c0.53 GEM · not on EDHREC page | Locket of Yesterdays {1} | Artifact | Spells you cast cost {1} less to cast for each card with the same name as that spell in you…
 2.80 c0.65 GEM · not on EDHREC page | Fateful Discovery {3}{U}{U} | Enchantment | Whenever an artifact you control enters, draw a card.
 2.80 c0.64 GEM · not on EDHREC page | Wasteful Harvest {2}{G} | Instant | Mill five cards. You may put a permanent card from among the cards milled this way into your …
