pool: 645 cards
 0.99 · 9% of decks | Waterlogged Grove  | Land | {T}, Pay 1 life: Add {G} or {U}. {1}, {T}, Sacrifice this land: Draw a card.
 0.97 · 38% of decks | Misty Rainforest  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.
 0.97 · 10% of decks | Windswept Heath  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.
 0.97 GEM · not on EDHREC page | Wooded Foothills  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.
 0.97 GEM · not on EDHREC page | Buried Ruin  | Land | {T}: Add {C}. {2}, {T}, Sacrifice this land: Return target artifact card from your graveyard to your hand.
 0.97 GEM · not on EDHREC page | Demolition Field  | Land | {T}: Add {C}. {2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a ba…
 0.97 GEM · not on EDHREC page | Urza's Cave  | Land — Urza's Cave | {T}: Add {C}. {3}, {T}, Sacrifice this land: Search your library for a land card, put it onto the battlefield tapped, then shuffle.
 0.97 · 20% of decks | Strip Mine  | Land | {T}: Add {C}. {T}, Sacrifice this land: Destroy target land.
 0.97 · 9% of decks | Ghost Quarter  | Land | {T}: Add {C}. {T}, Sacrifice this land: Destroy target land. Its controller may search their library for a basic land card, put it onto the battlefield, th…
 0.97 · 13% of decks | Cephalid Coliseum  | Land | {T}: Add {U}. This land deals 1 damage to you. Threshold — {U}, {T}, Sacrifice this land: Target player draws three cards, then discards three cards. A…
 0.97 GEM · not on EDHREC page | Field of Ruin  | Land | {T}: Add {C}. {2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, p…
 0.97 GEM · not on EDHREC page | Krosan Verge  | Land | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for a Forest card and a Plains card, put them onto the battlefield…
 0.97 GEM · not on EDHREC page | Haven of the Spirit Dragon  | Land | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Dragon creature spell. {2}, {T}, Sacrifice this land: Return targ…
 0.97 GEM · not on EDHREC page | Vibrant Cityscape  | Land | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
 0.97 GEM · not on EDHREC page | Horizon of Progress  | Land | {T}, Pay 1 life: Add one mana of any type that a land you control could produce. {3}, {T}: You may put a land card from your hand onto the battlefiel…
 0.97 GEM · not on EDHREC page | Blast Zone  | Land | This land enters with a charge counter on it. {T}: Add {C}. {X}{X}, {T}: Put X charge counters on this land. {3}, {T}, Sacrifice this land: Destroy each nonla…
 0.97 · 22% of decks | Foreboding Landscape  | Land | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Swamp, Forest, or Island card, put it onto the battlefield tapped, then shuf…
 0.97 GEM · not on EDHREC page | Shire Terrace  | Land | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
 0.97 GEM · not on EDHREC page | Volatile Fault  | Land — Cave | {T}: Add {C}. {1}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That player may search their library for a basic la…
 0.97 GEM · not on EDHREC page | Rocky Tar Pit  | Land | This land enters tapped. {T}, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.
 0.97 GEM · not on EDHREC page | Port of Karfell  | Land | This land enters tapped. {T}: Add {U}. {3}{U}{B}{B}, {T}, Sacrifice this land: Mill four cards, then return a creature card from your graveyard to the ba…
 0.97 GEM · not on EDHREC page | Naya Panorama  | Land | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shu…
 0.97 GEM · not on EDHREC page | Cryptic Caves  | Land | {T}: Add {C}. {1}, {T}, Sacrifice this land: Draw a card. Activate only if you control five or more lands.
 0.97 GEM · not on EDHREC page | Bant Panorama  | Land | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuff…
 0.97 GEM · not on EDHREC page | Jund Panorama  | Land | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuf…
 0.97 GEM · not on EDHREC page | HELIOS One  | Land | {T}: Add {C}. {1}, {T}: You get {E} (an energy counter). {3}, {T}, Pay X {E}, Sacrifice this land: Destroy target nonland permanent with mana value X. Activat…
 0.97 GEM · not on EDHREC page | Grixis Panorama  | Land | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then sh…
 0.97 GEM · not on EDHREC page | Esper Panorama  | Land | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuff…
 0.97 GEM · not on EDHREC page | Bad River  | Land | This land enters tapped. {T}, Sacrifice this land: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.
 0.97 GEM · not on EDHREC page | Haunted Fengraf  | Land | {T}: Add {C}. {3}, {T}, Sacrifice this land: Return a creature card at random from your graveyard to your hand.
 0.97 GEM · not on EDHREC page | Petrified Field  | Land | {T}: Add {C}. {T}, Sacrifice this land: Return target land card from your graveyard to your hand.
 0.97 GEM · not on EDHREC page | Warped Landscape  | Land | {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
 0.97 GEM · not on EDHREC page | Elven Passage  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. You may behold an Elf. I…
 0.97 GEM · not on EDHREC page | Edgewall Inn  | Land | This land enters tapped. As this land enters, choose a color. {T}: Add one mana of the chosen color. {3}, {T}, Sacrifice this land: Return target card that …
 0.97 GEM · not on EDHREC page | Terminal Moraine  | Land | {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
 0.97 GEM · not on EDHREC page | Blighted Fen  | Land | {T}: Add {C}. {4}{B}, {T}, Sacrifice this land: Target opponent sacrifices a creature of their choice.
 0.96 · 40% of decks | Polluted Delta  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.
 0.96 GEM · not on EDHREC page | Bloodstained Mire  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.
 0.96 GEM · not on EDHREC page | Arid Mesa  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.
 0.96 GEM · not on EDHREC page | Escape Tunnel  | Land | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. {T}, Sacrifice this land: Target cre…
 0.96 GEM · not on EDHREC page | Mirrorpool  | Land | This land enters tapped. {T}: Add {C}. {2}{C}, {T}, Sacrifice this land: Copy target instant or sorcery spell you control. You may choose new targets for the …
 0.96 GEM · not on EDHREC page | Promising Vein  | Land — Cave | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
 0.96 GEM · not on EDHREC page | Roadside Reliquary  | Land | {T}: Add {C}. {2}, {T}, Sacrifice this land: Draw a card if you control an artifact. Draw a card if you control an enchantment.
 0.96 GEM · not on EDHREC page | Tectonic Edge  | Land | {T}: Add {C}. {1}, {T}, Sacrifice this land: Destroy target nonbasic land. Activate only if an opponent controls four or more lands.
 0.96 GEM · not on EDHREC page | Spawning Bed  | Land | {T}: Add {C}. {6}, {T}, Sacrifice this land: Create three 1/1 colorless Eldrazi Scion creature tokens. They have "Sacrifice this token: Add {C}."
 0.96 GEM · not on EDHREC page | Flood Plain  | Land | This land enters tapped. {T}, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.
 0.96 GEM · not on EDHREC page | Skemfar Elderhall  | Land | This land enters tapped. {T}: Add {G}. {2}{B}{B}{G}, {T}, Sacrifice this land: Up to one target creature you don't control gets -2/-2 until end of turn…
 0.96 GEM · not on EDHREC page | Encroaching Wastes  | Land | {T}: Add {C}. {4}, {T}, Sacrifice this land: Destroy target nonbasic land.
 0.96 GEM · not on EDHREC page | Reef Roads  | Land | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {U}. {1}{U}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token wit…
 0.95 GEM · not on EDHREC page | Eden, Seat of the Sanctum  | Land — Town | {T}: Add {C}. {5}, {T}: Mill two cards. Then you may sacrifice this land. When you do, return another target permanent card from your gr…
 0.95 GEM · not on EDHREC page | Wild Roads  | Land | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {G}. {1}{G}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token wit…
 0.95 GEM · not on EDHREC page | Blighted Cataract  | Land | {T}: Add {C}. {5}{U}, {T}, Sacrifice this land: Draw two cards.
 0.95 GEM · not on EDHREC page | Foul Roads  | Land | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {B}. {1}{B}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token wit…
 0.94 GEM · not on EDHREC page | Scalding Tarn  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.
 0.94 GEM · not on EDHREC page | Treasure Vault  | Artifact Land | {T}: Add {C}. {X}{X}, {T}, Sacrifice this land: Create X Treasure tokens.
 0.94 GEM · not on EDHREC page | Ally Encampment  | Land | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast an Ally spell. {1}, {T}, Sacrifice this land: Return target Ally you control t…
 0.92 · 9% of decks | Flooded Strand  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.
 0.91 GEM · not on EDHREC page | Tomb of Urami  | Legendary Land | {T}: Add {B}. Tomb of Urami deals 1 damage to you if you don't control an Ogre. {2}{B}{B}, {T}, Sacrifice all lands you control: Create Urami, a …
 0.87 · 22% of decks | Boseiju, Who Endures  | Legendary Land | {T}: Add {G}. Channel — {1}{G}, Discard this card: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That playe…
 0.86 GEM · not on EDHREC page | Maelstrom of the Spirit Dragon  | Land | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Dragon spell or an Omen spell. {4}, {T}, Sacrifice this land:…
 0.86 GEM · not on EDHREC page | Mouth of Ronom  | Snow Land | {T}: Add {C}. {4}{S}, {T}, Sacrifice this land: It deals 4 damage to target creature. ({S} can be paid with one mana from a snow source.)
 0.83 GEM · not on EDHREC page | Lazotep Quarry  | Land — Desert | {T}: Add {C}. {T}, Sacrifice a creature: Add one mana of any color. {X}{2}, {T}, Sacrifice a Desert: Exile target creature card with mana value X…
 0.81 GEM · not on EDHREC page | Trenzalore Clocktower  | Legendary Land | {T}: Add {U}. Put a time counter on Trenzalore Clocktower. {1}{U}, {T}, Remove twelve time counters from Trenzalore Clocktower and exile …
 0.81 GEM · not on EDHREC page | Sequestered Stash  | Land | {T}: Add {C}. {4}, {T}, Sacrifice this land: Mill five cards. Then you may put an artifact card from your graveyard on top of your library.
 0.81 GEM · not on EDHREC page | Wintermoon Mesa  | Land | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Tap two target lands.
 0.80 GEM · not on EDHREC page | Abstergo Entertainment  | Legendary Land | {T}: Add {C}. {1}, {T}: Add one mana of any color. {3}, {T}, Exile Abstergo Entertainment: Return up to one target historic card from yo…
 0.80 GEM · not on EDHREC page | Cabal Pit  | Land | {T}: Add {B}. This land deals 1 damage to you. Threshold — {B}, {T}, Sacrifice this land: Target creature gets -2/-2 until end of turn. Activate only if there …
 0.78 GEM · not on EDHREC page | Tomb Fortress  | Land | This land enters tapped. {T}: Add {B}. {2}{B}{B}{B}, {T}, Exile this land: Mill four cards, then return a creature card from your graveyard to the battlefi…
 0.75 GEM · not on EDHREC page | Inventors' Fair  | Legendary Land | At the beginning of your upkeep, if you control three or more artifacts, you gain 1 life. {T}: Add {C}. {4}, {T}, Sacrifice Inventors' Fair: Se…
 0.75 GEM · not on EDHREC page | Dust Bowl  | Land | {T}: Add {C}. {3}, {T}, Sacrifice a land: Destroy target nonbasic land.
 0.74 · 14% of decks | Otawara, Soaring City  | Legendary Land | {T}: Add {U}. Channel — {3}{U}, Discard this card: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. Th…
 0.73 · not on EDHREC page | Endless Sands  | Land — Desert | {T}: Add {C}. {2}, {T}: Exile target creature you control. {4}, {T}, Sacrifice this land: Return each creature card exiled with this land to the b…
 0.73 · not on EDHREC page | Grasping Dunes  | Land — Desert | {T}: Add {C}. {1}, {T}, Sacrifice this land: Put a -1/-1 counter on target creature. Activate only as a sorcery.
 0.73 · not on EDHREC page | Northampton Farm  | Land | {T}: Add {C}. {1}, {T}: Exile target creature you own. {2}, {T}, Sacrifice this land: Return a creature card exiled with this land to the battlefield un…
 0.72 · not on EDHREC page | Hidden Necropolis  | Land — Cave | This land enters tapped. {T}: Add {B}. {4}{B}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of yo…
 0.71 · 30% of decks | Command Beacon  | Land | {T}: Add {C}. {T}, Sacrifice this land: Put your commander into your hand from the command zone.
 0.70 · not on EDHREC page | Ifnir Deadlands  | Land — Desert | {T}: Add {C}. {T}, Pay 1 life: Add {B}. {2}{B}{B}, {T}, Sacrifice a Desert: Put two -1/-1 counters on target creature an opponent controls. Acti…
 0.67 · 14% of decks | Takenuma, Abandoned Mire  | Legendary Land | {T}: Add {B}. Channel — {3}{B}, Discard this card: Mill three cards, then return a creature or planeswalker card from your graveyard t…
 0.64 · not on EDHREC page | Hidden Cataract  | Land — Cave | This land enters tapped. {T}: Add {U}. {4}{U}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your…
 0.64 · not on EDHREC page | Ominous Cemetery  | Land | {T}: Add {C}. {5}, {T}, Exile this land: Target creature's owner shuffles it into their library.
 0.64 · not on EDHREC page | Memorial to Unity  | Land | This land enters tapped. {T}: Add {G}. {2}{G}, {T}, Sacrifice this land: Look at the top five cards of your library. You may reveal a creature card fro…
 0.60 · not on EDHREC page | Hidden Nursery  | Land — Cave | This land enters tapped. {T}: Add {G}. {4}{G}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your …
 0.60 · not on EDHREC page | Ipnu Rivulet  | Land — Desert | {T}: Add {C}. {T}, Pay 1 life: Add {U}. {1}{U}, {T}, Sacrifice a Desert: Target player mills four cards. (They put the top four cards of their libr…
 0.60 · not on EDHREC page | Quicksand  | Land | {T}: Add {C}. {T}, Sacrifice this land: Target attacking creature without flying gets -1/-2 until end of turn.
 0.58 · not on EDHREC page | Dark Depths  | Legendary Snow Land | Dark Depths enters with ten ice counters on it. {3}: Remove an ice counter from Dark Depths. When Dark Depths has no ice counters on it, sacri…
 0.52 · not on EDHREC page | Safe Haven  | Land | {2}, {T}: Exile target creature you control. At the beginning of your upkeep, you may sacrifice this land. If you do, return each card exiled with this land t…
 0.51 · not on EDHREC page | Remote Isle  | Land | This land enters tapped. {T}: Add {U}. Cycling {2} ({2}, Discard this card: Draw a card.)
provider=jev requests=6 cached=0 input_tokens=143620 (~$0.006)
